Class,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,-3.333057,-7.669987,-2.53448,-4.759447,-4.385271,4.412895,10.963492,15.374503,6.580104,2.267031,-1.724601,-4.655231,-4.952814,-5.583138
0,-2.742913,-4.805906,-2.639952,-3.049286,-2.751703,2.8961,14.484265,11.302511,3.255208,1.629174,-3.618084,-6.283777,-3.054308,-4.620073
0,-1.342891,-2.631163,0.368526,-0.649786,-1.588994,0.28691,10.816584,5.329501,0.502878,-0.313278,-3.336824,-4.547247,-1.080466,-1.813751
0,1.678143,2.230618,2.624885,2.191694,0.521712,-0.865754,1.173382,-5.004294,-4.847341,-2.077432,-1.195983,-1.201006,2.470443,2.300933
0,4.892544,9.224451,2.044786,4.76447,3.728579,-0.211573,-7.079843,-17.171303,-11.867542,-3.351892,0.895889,1.876532,6.444497,5.810406
0,6.816162,13.965692,1.547558,6.395527,5.475154,0.77786,-9.822128,-25.340401,-15.723567,-5.168781,2.122634,3.726068,7.749091,7.480387
0,6.629073,12.873298,3.230096,6.424407,4.238363,-0.152558,-9.753069,-25.249996,-13.217339,-6.384227,3.11709,4.347602,6.317678,7.579582
0,3.947058,6.570059,4.21325,4.318723,1.707023,-3.67961,-9.468042,-16.49201,-6.182071,-4.19316,3.854142,4.539713,4.627607,6.23983
0,0.268076,-0.026996,1.453386,0.864498,-0.117401,-7.192849,-7.37617,-3.301667,0.499111,1.183427,3.158525,4.554781,2.99655,3.03673
0,-1.523701,-2.294655,-2.863453,-1.787383,-1.128179,-6.93419,-2.235641,7.274465,3.589205,5.452553,0.893377,3.051797,-0.236685,-1.256253
0,-1.147014,-1.496077,-4.284821,-2.486766,-1.432041,-2.047297,3.826518,11.615161,4.111545,4.991738,-1.236163,-1.006384,-4.760703,-4.647697
0,-1.458409,-2.64623,-2.366226,-2.398872,-0.60835,4.464376,8.649374,12.874553,5.034429,1.011406,-2.101289,-5.743858,-8.358069,-6.35158
0,-3.582927,-6.506022,-0.683688,-3.014128,0.337135,8.628029,11.985571,15.075664,7.082354,-1.94308,-2.677621,-7.745324,-9.734235,-7.222984
0,-5.442508,-9.180504,-1.449619,-4.178093,-0.426285,8.777448,13.213572,16.871209,8.702111,-1.154547,-3.758714,-5.986193,-8.553947,-7.433929
0,-6.19965,-9.73549,-2.982738,-4.976671,-2.092499,6.362881,11.186993,14.962658,9.406516,1.376793,-3.944547,-2.685155,-4.666531,-6.012561
0,-6.876432,-10.334424,-2.783093,-4.853619,-1.959403,3.881765,6.570059,9.729212,9.586071,2.057342,-1.999583,-0.423774,0.412473,-3.005339
0,-5.662242,-8.525068,-0.870776,-3.166059,-0.443864,1.933035,0.674899,2.881032,7.181549,0.967459,0.448886,0.313278,3.968404,0.298211
0,0.620907,0.349692,1.030241,0.371037,-0.936069,-0.939835,-6.96307,-6.048975,-0.382338,1.244952,1.331591,1.065398,5.741346,3.516378
0,8.790004,11.852474,2.149003,4.171815,-3.144713,-5.038196,-15.72859,-15.999805,-10.000427,2.972693,1.754736,3.462387,7.776715,6.981904
0,10.864297,15.419706,2.906145,6.023862,-1.715812,-7.922367,-20.636829,-21.86483,-14.363725,2.130168,3.685888,6.567548,9.540868,9.363825
0,5.811661,10.596849,3.263998,6.114267,5.261698,-7.492944,-17.293099,-20.553957,-11.630229,-2.366226,5.288066,6.76217,7.78676,8.450986
0,1.632941,7.387471,2.719056,6.085388,10.894432,-4.866176,-8.541391,-15.009116,-7.703889,-5.563048,3.215028,2.472954,2.569637,4.707967
0,2.74668,8.273943,1.728368,5.270487,7.58586,-2.319768,-0.694989,-8.311611,-6.48091,-3.923201,-0.988805,-2.147747,-1.833841,1.094277
0,3.883021,4.887521,1.207284,1.750969,-2.00335,-0.26682,5.074609,0.330857,-4.618817,-0.95867,-2.361203,-2.262009,-3.561581,-1.103067
0,0.345925,-4.267242,0.712567,-2.828296,-7.577071,1.699489,11.578748,9.966525,0.560637,-1.027729,-0.732657,0.067176,-5.216495,-3.282832
0,-4.292355,-9.446696,-0.772837,-4.436752,-4.697922,2.82704,17.683598,15.471186,5.298111,-2.314745,-0.947369,-0.907189,-7.612228,-5.851841
0,-5.526634,-7.762903,-2.456631,-3.379515,-0.384849,2.455375,18.464597,15.270286,6.485932,-0.900911,-3.551536,-4.592449,-7.36487,-6.757147
0,-5.090933,-8.339235,-2.747936,-4.170559,-2.616095,1.454642,12.890877,14.270809,7.612228,2.564615,-2.945069,-4.783304,-3.125879,-4.974159
0,-5.740091,-13.427028,-2.368737,-7.274465,-8.265153,0.922257,5.289321,14.666331,11.534801,5.010573,2.013395,-0.80925,1.087999,-2.638696
0,-5.755158,-12.377326,-3.203728,-7.294555,-7.106211,1.447108,-0.875799,11.608883,13.499855,5.554258,3.978449,0.927279,1.592761,-1.997072
0,-3.405883,-1.823796,-4.291099,-2.098778,2.81574,3.937013,-5.692377,2.621118,8.330446,4.1015,-0.814273,-1.512401,0.021973,-2.189183
0,-0.718845,6.253641,-2.981482,2.764259,10.834162,7.762903,-9.7154,-6.791049,-0.399917,0.333369,-4.780793,-2.092499,0.310767,-0.776604
0,1.125668,5.408606,0.037041,2.884799,8.192327,8.353047,-12.627195,-11.85373,-5.536679,-2.874754,-0.988805,1.757248,3.472432,2.651253
0,4.194416,5.622062,1.558859,2.057342,0.624674,1.997072,-14.260764,-14.770547,-6.660464,-1.444597,4.640163,3.95208,6.670509,5.820451
0,8.290266,13.214828,1.753481,5.070843,-0.705034,-6.851319,-13.595282,-17.441262,-8.206139,1.985771,2.971437,0.961181,6.124312,6.428173
